Time,LogitFit,LogitSE
13.981982,-0.225137,0.0228167
14.006006,-0.2256766,0.022865
14.03003,-0.2262172,0.0229135
14.0540541,-0.2267587,0.0229623
14.0780781,-0.2273013,0.0230113
14.1021021,-0.2278449,0.0230606
14.1261261,-0.2283896,0.02311
14.1501502,-0.2289354,0.0231597
14.1741742,-0.2294824,0.0232096
14.1981982,-0.2300306,0.0232597
14.2222222,-0.2305801,0.02331
14.2462462,-0.2311309,0.0233605
14.2702703,-0.231683,0.0234111
14.2942943,-0.2322365,0.0234619
14.3183183,-0.2327913,0.0235129
14.3423423,-0.2333477,0.023564
14.3663664,-0.2339055,0.0236152
14.3903904,-0.2344649,0.0236666
14.4144144,-0.2350258,0.0237181
14.4384384,-0.2355884,0.0237697
14.4624625,-0.2361525,0.0238215
14.4864865,-0.2367184,0.0238733
14.5105105,-0.237286,0.0239252
14.5345345,-0.2378554,0.0239772
14.5585586,-0.2384266,0.0240293
14.5825826,-0.2389997,0.0240814
14.6066066,-0.2395746,0.0241336
14.6306306,-0.2401515,0.0241858
14.6546547,-0.2407303,0.0242381
14.6786787,-0.2413111,0.0242904
14.7027027,-0.241894,0.0243428
14.7267267,-0.242479,0.0243951
14.7507508,-0.243066,0.0244475
14.7747748,-0.2436553,0.0244999
14.7987988,-0.2442468,0.0245523
14.8228228,-0.2448405,0.0246046
14.8468468,-0.2454365,0.0246569
14.8708709,-0.2460348,0.0247092
14.8948949,-0.2466355,0.0247615
14.9189189,-0.2472385,0.0248137
14.9429429,-0.2478441,0.0248659
14.966967,-0.2484521,0.024918
14.990991,-0.2490626,0.02497
15.015015,-0.2496757,0.025022
15.039039,-0.2502914,0.0250739
15.0630631,-0.2509097,0.0251257
15.0870871,-0.2515308,0.0251774
15.1111111,-0.2521545,0.025229
15.1351351,-0.252781,0.0252804
15.1591592,-0.2534103,0.0253318
15.1831832,-0.2540425,0.0253831
15.2072072,-0.2546775,0.0254342
15.2312312,-0.2553154,0.0254851
15.2552553,-0.2559563,0.025536
15.2792793,-0.2566002,0.0255866
15.3033033,-0.2572471,0.0256372
15.3273273,-0.2578972,0.0256875
15.3513514,-0.2585503,0.0257377
15.3753754,-0.2592066,0.0257877
15.3993994,-0.259866,0.0258375
15.4234234,-0.2605288,0.0258872
15.4474474,-0.2611948,0.0259366
15.4714715,-0.2618641,0.0259859
15.4954955,-0.2625367,0.0260349
15.5195195,-0.2632128,0.0260837
15.5435435,-0.2638923,0.0261323
15.5675676,-0.2645753,0.0261807
